id	cufflinks_ath_buds_rep1
AT1G08240	0
AT1G08250	6.18719
AT1G08260	7.18877
AT1G08270	9.02873
AT1G08280	9.86776
AT1G08290	1.23399
AT1G08300	3.5175
AT1G08310	1.15867
AT1G08315	6.81638
AT1G08320	5.72453
AT1G08340	7.87415
AT1G08350	8.8881
AT1G08360	411.306
AT1G08370	31.734
AT1G08380	855.152
AT1G08390	11.4694
AT1G08400	3.53179
AT1G08410	15.3241
AT1G08420	18.9941
AT1G08430	0.216853
AT1G08440	1.19088
AT1G08450	30.2602
AT1G08460	22.6223
AT1G08465	28.0456
AT1G08470	23.346
AT1G08480	97.1354
AT1G08490	20.3477
AT1G08500	11.3484
AT1G08510	156.312
AT1G08520	72.9616
AT1G08530	13.2473
AT1G08540	36.7852
AT1G08550	38.6542
AT1G08560	103.641
AT1G08570	77.7248
AT1G08580	58.6875
AT1G08590	3.53762
AT1G08592	3.34525
AT1G08600	13.8741
AT1G08610	8.33804
AT1G08620	15.0833
AT1G08630	39.089
AT1G08640	50.6173
AT1G08650	43.0177
AT1G08660	28.8136
AT1G08670	1.50711
AT1G08680	29.2691
AT1G08695	3.02419
AT1G08700	33.5726
AT1G08710	14.5212
AT1G08720	12.7892
AT1G08730	3.03095
AT1G08735	0
AT1G08740	0
AT1G08750	14.9788
AT1G08760	19.9858
AT1G08770	17.7391
AT1G08780	51.0575
AT1G08790	0
AT1G08800	12.7169
AT1G08810	5.73447
AT1G08820	44.4389
AT1G08830	463.665
AT1G08840	4.66196
AT1G08845	11.9387
AT1G08860	2.47592
AT1G08870	0
AT1G08880	153.646
AT1G08890	7.73087
AT1G08900	5.23243
AT1G08910	15.8956
AT1G08920	30.7532
AT1G08930	21.8294
AT1G08940	6.65795
AT1G08950	0
AT1G08960	10.6373
AT1G08970	57.4319
AT1G08980	59.0284
AT1G08985	0
AT1G08990	0
AT1G09000	2.57253
AT1G09010	40.5444
AT1G09020	28.4491
AT1G09026	0
AT1G09030	0
AT1G09040	3.85908
AT1G09050	3.81149
AT1G09060	26.2535
AT1G09070	173.344
AT1G09080	0.661928
AT1G09090	0
AT1G09100	26.9896
AT1G09110	0
AT1G09130	87.9584
AT1G09140	41.5103
AT1G09150	44.7226
AT1G09155	4.87951
AT1G09157	0.41875
AT1G09160	28.5602
AT1G09170	0.287283
AT1G09176	0.589945
AT1G09180	4.56317
AT1G09190	4.65803
AT1G09195	6.33729
AT1G09200	267.297
AT1G09210	146.068
AT1G09220	2.71082
AT1G09230	13.8262
AT1G09240	13.0547
AT1G09245	0.255925
AT1G09250	18.443
AT1G09260	2.41094
AT1G09270	36.2326
AT1G09280	13.8325
AT1G09290	15.5745
AT1G09300	8.77169
AT1G09310	484.013
AT1G09320	11.1971
AT1G09330	45.8976
AT1G09340	117.369
AT1G09350	0.74019
AT1G09360	0
AT1G09370	5.91198
AT1G09380	7.5246
AT1G09390	35.4449
AT1G09400	1.36387
AT1G09410	1.65942
AT1G09415	24.6627
